Cluster_name	Count	Max with r1	Max with_r2	Recombinant1	Recombinant2
centroid=F6_LB_1316;seqs=1;size=1;	1	10	1	1	0
centroid=F5_LB_2299;seqs=2;size=6;	6	6	6	0	0
centroid=F6_LH_5757;seqs=2;size=3;	3	3	3	0	0
centroid=F4_LH_144;seqs=2;size=2;	2	2	100	0	1
centroid=F5_LB_2088;seqs=4;size=7;	7	7	7	0	0
centroid=F2_H_16;seqs=2;size=2;	2	36	2	1	0
centroid=F6_LB_6411;seqs=1;size=1;	1	1	11	0	1
centroid=F5_LH_1803;seqs=2;size=2;	2	2	20	0	1
centroid=F6_LB_5622;seqs=1;size=1;	1	31	1	1	0
centroid=F2_H_129;seqs=2;size=2;	2	27	2	1	0
centroid=F5_LH_3741;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_740;seqs=1;size=1;	1	1	2	0	1
centroid=F5_LB_2926;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_2835;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LH_5666;seqs=2;size=4;	4	4	4	0	0
centroid=F2_H_641;seqs=3;size=3;	3	129	3	1	0
centroid=F2_H_745;seqs=1;size=1;	1	1	10	0	1
centroid=F6_LB_3487;seqs=1;size=1;	1	2	1	1	0
centroid=F6_LH_6976;seqs=47;size=151;	151	151	151	0	0
centroid=F3_H_1773;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_577;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_349;seqs=4;size=5;	5	5	5	0	0
centroid=F5_LH_832;seqs=2;size=2;	2	2	2	0	0
centroid=F2_H_934;seqs=1;size=1;	1	57	1	1	0
centroid=F6_LB_3617;seqs=2;size=2;	2	2	8	0	1
centroid=F5_LB_2246;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LB_3094;seqs=1;size=3;	3	3	3	0	0
centroid=F6_LB_6793;seqs=23;size=64;	64	64	64	0	0
centroid=F2_H_1122;seqs=1;size=1;	1	25	1	1	0
centroid=F5_LH_1013;seqs=1;size=1;	1	23	1	1	0
centroid=F6_LH_5185;seqs=1;size=1;	1	26	1	1	0
centroid=F1_H_59;seqs=2;size=2;	2	2	2	0	0
centroid=F4_LH_335;seqs=1;size=1;	1	100	1	1	0
centroid=F5_LH_395;seqs=5;size=5;	5	5	5	0	0
centroid=F5_LB_1757;seqs=3;size=6;	6	6	6	0	0
